date,media,article_id,category,subcategory,page_views
20260815,Digmedia,313090,ES,gakuchika,1
20260815,Digmedia,313093,志望動機,理系,1
20260815,Digmedia,313100,志望動機,志望動機,2
20260815,Digmedia,313101,志望動機,志望動機,3
20260815,Digmedia,313102,志望動機,志望動機,2
20260815,Digmedia,313103,志望動機,志望動機,1
20260815,Digmedia,313121,自己PR,prjob,1
20260815,Digmedia,313123,自己PR,prjob,1
20260815,Digmedia,313127,自己PR,prjob,2
20260815,Digmedia,313131,自己PR,prjob,7
20260815,Digmedia,313132,自己PR,prjob,4
20260815,Digmedia,313133,自己PR,prjob,2
20260815,Digmedia,313136,自己PR,prjob,1
20260815,Digmedia,313137,自己PR,prjob,2
20260815,Digmedia,313138,自己PR,prjob,0
20260815,Digmedia,313139,自己PR,prvision,5
20260815,Digmedia,313140,自己PR,prjob,4
20260815,Digmedia,313141,自己PR,prjob,1
20260815,Digmedia,313146,自己PR,prjob,2
20260815,Digmedia,313148,自己PR,prjob,1
20260815,Digmedia,313150,自己PR,prjob,1
20260815,Digmedia,313152,自己PR,prjob,1
20260815,Digmedia,313153,自己PR,prjob,3
20260815,Digmedia,313157,自己PR,prjob,3
20260815,Digmedia,313158,自己PR,prjob,3
20260815,Digmedia,313162,自己PR,prjob,1
20260815,Digmedia,313163,自己PR,prjob,1
20260815,Digmedia,313172,自己PR,prjob,8
20260815,Digmedia,313184,自己PR,prjob,2
20260815,Digmedia,313185,未設定,未設定,2
20260815,Digmedia,313191,面接,面接1,1
20260815,Digmedia,313194,自己PR,prjob,2
20260815,Digmedia,313196,自己PR,prjob,1
20260815,Digmedia,313198,自己PR,prvision,5
20260815,Digmedia,313199,未設定,未設定,1
20260815,Digmedia,313200,自己PR,prvision,2
20260815,Digmedia,313201,自己PR,prvision,6
20260815,Digmedia,313202,自己PR,prvision,1
20260815,Digmedia,313217,テスト,test,2
20260815,Digmedia,313218,テスト,test,1
20260815,Digmedia,313220,テスト,test,1
20260815,Digmedia,313221,テスト,test,3
20260815,Digmedia,313223,テスト,test,1
20260815,Digmedia,313228,テスト,test,1
20260815,Digmedia,313246,テスト,test,3
20260815,Digmedia,313247,テスト,test,2
20260815,Digmedia,313248,テスト,test,4
20260815,Digmedia,313250,テスト,test,3
20260815,Digmedia,313251,テスト,test,1
20260815,Digmedia,313261,テスト,test,3
20260815,Digmedia,313263,テスト,test,1
20260815,Digmedia,313266,テスト,test,10
20260815,Digmedia,313269,テスト,test,1
20260815,Digmedia,313282,テスト,test,5
20260815,Digmedia,313283,テスト,test,1
20260815,Digmedia,313284,テスト,test,1
20260815,Digmedia,313304,テスト,test,1
20260815,Digmedia,313306,テスト,test,1
20260815,Digmedia,313313,自己PR,prvision,1
20260815,Digmedia,313314,自己PR,prvision,1
20260815,Digmedia,313315,自己PR,prvision,3
20260815,Digmedia,313322,自己PR,prvision,3
20260815,Digmedia,313323,自己PR,prvision,2
20260815,Digmedia,313324,自己PR,prvision,1
20260815,Digmedia,313331,自己PR,prvision,3
20260815,Digmedia,313332,自己PR,prvision,6
20260815,Digmedia,313337,自己PR,prvision,3
20260815,Digmedia,313339,自己PR,prvision,3
20260815,Digmedia,313340,自己PR,prvision,5
20260815,Digmedia,313341,未設定,未設定,3
20260815,Digmedia,313342,自己PR,prvision,1
20260815,Digmedia,313343,自己PR,prvision,4
20260815,Digmedia,313344,自己PR,prvision,8
20260815,Digmedia,313346,自己PR,prvision,3
20260815,Digmedia,313347,自己PR,prvision,3
20260815,Digmedia,313348,自己PR,prvision,4
20260815,Digmedia,313351,自己PR,prvision,2
20260815,Digmedia,313353,自己PR,prvision,1
20260815,Digmedia,313354,自己PR,prvision,3
20260815,Digmedia,313362,志望動機,業界,1
20260815,Digmedia,313397,テスト,test,1
20260815,Digmedia,313403,テスト,test,1
20260815,Digmedia,313425,テスト,test,1
20260815,Digmedia,313428,テスト,test,2
20260815,Digmedia,313433,テスト,test,1
20260815,Digmedia,313434,テスト,test,3
20260815,Digmedia,313440,テスト,test,6
20260815,Digmedia,313458,テスト,test,0
20260815,Digmedia,313459,テスト,test,2
20260815,Digmedia,313502,テスト,test,1
20260815,Digmedia,313504,テスト,test,3
20260815,Digmedia,313511,テスト,test,2
20260815,Digmedia,313515,テスト,test,4
20260815,Digmedia,313521,テスト,test,4
20260815,Digmedia,313529,テスト,test,0
20260815,Digmedia,313548,テスト,test,1
20260815,Digmedia,313556,テスト,test,3
20260815,Digmedia,313562,志望動機,Tscore,1
20260815,Digmedia,313564,志望動機,業界,2
20260815,Digmedia,313569,志望動機,ヒエラルキー,1
20260815,Digmedia,313583,志望動機,志望動機,1
20260815,Digmedia,313585,志望動機,志望動機,2
20260815,Digmedia,313590,志望動機,志望動機,1
20260815,Digmedia,313596,自己PR,prjob,1
20260815,Digmedia,313608,志望動機,業界,2
